axV,Pronúncia,REGRAS,ixV,Pronúncia,REGRAS,oxV,Pronúncia,REGRAS,uxV,Pronúncia,REGRAS
cististaxe,,,baixel,,,roxiscuro,,,,,
gastrostaxe,,,rebaixe,,,oxiosmia,,,,,
mucuaxeiro,,,peixeiro,,,toxicador,,,,,
máxime,,,peixe-espada,,,toxicodendrômico,,,,,
táxis,,,mixedema,,,oxiúride,,,,,
araxá,,,eixe,,,coxilgo,,,,,
axá,,,peixe-lixa,,,trioxipurina,,,,,
baxá,,,desencaixe,,,sulfoxilato,,,,,
caracaxá,,,peixe-boto,,,oxicrato,,,,,
sáxeo,,,ameixeira,,,oftalmoxistro,,,,,
máxi,,,maxixeiro,,,odontoloxia,,,,,
táxico,,,peixeirada,,,coximpim,,,,,
taxável,,,mixedematoso,,,urotoxidade,,,,,
saxátil,,,onixe,,,crisotoxina,,,,,
maracaxá,,,peixe-escolar,,,caabopoxi,,,,,
cracaxá,,,peixe-branco,,,vincetoxina,,,,,
náxia,,,peixe-elétrico,,,mentoxila,,,,,
náxio,,,peixe-anjo,,,superoxidar,,,,,
sinaxário,,,anaptixe,,,oxigenabilidade,,,,,
taxáceas,,,peixe-aranha,,,desoxicortona,,,,,
sáxina,,,teixe,,,oxirrânfide,,,,,
náxaro,,,seixeira,,,autotoxina,,,,,
taxativo,,,peixe-martelo,,,quinotoxina,,,,,
relaxar,,,baixeira,,,oxiafia,,,,,
taxa,,,peixe-agulha,,,acetaldoxima,,,,,
relaxado,,,caixeiral,,,toxicoterapia,,,,,
taxado,,,lixento,,,toracoxifópago,,,,,
taxar,,,troixe-moixe,,,anoxiemia,,,,,
coaxar,,,peixe-piolho,,,protoxidado,,,,,
graxa,,,não-me-deixes,,,nomoxim,,,,,
laxativo,,,peixe-pica,,,reoxigenizar,,,,,
tarraxa,,,faixeta,,,tifotoxina,,,,,
laxante,,,peixe-voador,,,hemotoxia,,,,,
galáxia,,,peixe-pedra,,,bromatotoxicismo,,,,,
engraxar,,,pixear,,,astenoxia,,,,,
relaxamento,,,enfaixe,,,lupinotoxina,,,,,
xaxado,,,pica-peixe,,,antropotoxina,,,,,
taxação,,,peixe-frito,,,termotoxina,,,,,
engraxate,,,peixe-rato,,,oxipétalo,,,,,
caxambu,,,peixe-serra,,,moxingueiro,,,,,
relaxante,,,peixe-prego,,,enterotoxismo,,,,,
sobretaxa,,,corrupixel,,,cromoxilografia,,,,,
atarraxar,,,reixelo,,,bromatotoxina,,,,,
desatarraxar,,,lava-peixe,,,aconitoxina,,,,,
raxa,,,caxixeiro,,,picrotóxico,,,,,
engraxado,,,peixe-espinho,,,oxigráfide,,,,,
relaxadamente,,,peixe-roda,,,isocitotoxina,,,,,
relaxação,,,faixeiro,,,trinitroxileno,,,,,
engraxamento,,,peixe-pau,,,oxistilo,,,,,
maxambomba,,,medeixes,,,oxicéfala,,,,,
sobretaxado,,,queixeiro,,,muxiloxilo,,,,,
malaxar,,,peixe-pombo,,,oxissácaro,,,,,
sobretaxar,,,peixe-porco,,,oxiídrico,,,,,
atarraxado,,,peixe-vermelho,,,oxifonia,,,,,
caxarelo,,,peixe-macaco,,,oxibrácteo,,,,,
axadrezado,,,peixe-cachorro,,,crotalotoxina,,,,,
laxar,,,baixete,,,oxistelma,,,,,
caxa,,,peixe-rei,,,esplenotoxina,,,,,
tarraxar,,,polixeno,,,xantoxileno,,,,,
caxarela,,,peixe-cobra,,,toxicógeno,,,,,
malaxador,,,desqueixelado,,,oxiope,,,,,
ostaxa,,,peixe-lua,,,oxirredútase,,,,,
xaxará,,,almafreixe,,,etoxicafeína,,,,,
radiotáxi,,,peixe-cabra,,,bacteriotoxina,,,,,
guaraxaim,,,apodixe,,,hemotoxicose,,,,,
caxambá,,,pixerar,,,toxicógrafo,,,,,
graxaim,,,neixente,,,ieboxi,,,,,
malaxação,,,peixe-sapo,,,espermotoxina,,,,,
abraxas,,,almofreixe,,,dietotoxicidade,,,,,
coaxado,,,peixezinho,,,coloxilina,,,,,
caraxa,,,peixelim,,,moxição,,,,,
tapaxanas,,,aixe,,,toxicoterápico,,,,,
desaguaxado,,,caixeirar,,,oxitártaro,,,,,
naxa,,,peixe-cão,,,oxilóbio,,,,,
muxaxa,,,hemostixe,,,oxidulado,,,,,
tapaxana,,,peixe-espada-preto,,,metroloxia,,,,,
baxado,,,peixe-curvo,,,histeroloxia,,,,,
coaxante,,,peixe-carago,,,epiparoxismo,,,,,
bagaxa,,,polixena,,,toxinêmico,,,,,
caxango,,,eurixenia,,,toxicófobo,,,,,
laxação,,,faixear,,,esfacelotoxina,,,,,
abraxa,,,caixela,,,butopironoxilo,,,,,
zeaxantina,,,peixe-de-caixa,,,trioxifenol,,,,,
engraxador,,,seixebra,,,tetanotoxina,,,,,
maxacali,,,cadixe,,,oxiclórico,,,,,
faxar,,,esfixe,,,oxianto,,,,,
malaxadeira,,,escleroticonixe,,,monoidroxifenol,,,,,
laxamente,,,peixense,,,anoxiêmico,,,,,
desengraxamento,,,caixeiragem,,,toxiterapia,,,,,
engraxataria,,,arixenino,,,toxicográfico,,,,,
maxambeta,,,melro-peixeiro,,,oxirrino,,,,,
regaxa,,,perixenite,,,fibroxistoso,,,,,
paraláxico,,,froixel,,,estafilotoxina,,,,,
psicomiorrelaxante,,,peixe-pimenta,,,toxinoterapia,,,,,
anaxagórico,,,antixenismo,,,urotoxia,,,,,
taraxaco,,,manixeiro,,,toxiterápico,,,,,
radiogaláxia,,,faixeação,,,toxinoterápico,,,,,
taxaspidiano,,,capolacaxixe,,,toxicoemia,,,,,
taxadamente,,,afroixelar,,,sinóxilo,,,,,
taraxacina,,,mixencondroma,,,sacrocoxite,,,,,
entarraxar,,,enfroixecer,,,picrotoxinina,,,,,
rapaxa,,,polixenídeo,,,oxibásico,,,,,
atarraxador,,,troixel,,,litóxilo,,,,,
almarraxa,,,froixeza,,,fibroxisto,,,,,
rudraxa,,,froixeleiro,,,aeremotoxia,,,,,
regraxar,,,troixelo,,,toxidérmico,,,,,
axadrezar,,,froixelado,,,toxicoêmico,,,,,
faxadura,,,mixórdia,,,toracoxifopágico,,,,,
coaxação,,,quixó,,,oxiclorato,,,,,
aguaraxaim,,,quixótico,,,oxibrometo,,,,,
engraxadela,,,mixófitos,,,fotoxilográfico,,,,,
caxarari,,,mixófito,,,eritroxiláceo,,,,,
desentarraxar,,,tixótropo,,,pseudotoxina,,,,,
caxarrela,,,mixósporo,,,oxirrodino,,,,,
anaxatre,,,guarixó,,,oximangânico,,,,,
paxalizar,,,ixófago,,,oxietérico,,,,,
anaxagorea,,,mixópode,,,anticitotoxina,,,,,
axanto,,,ixódidas,,,toxicofóbico,,,,,
desgraxar,,,tapixó,,,toxicofidia,,,,,
amolaxado,,,prolixidade,,,toxicodérmico,,,,,
caaxarama,,,elixir,,,oximanganato,,,,,
baxalato,,,xixi,,,oxiblepsia,,,,,
axantopsia,,,asfixia,,,tuberculotoxina,,,,,
bardaxa,,,asfixiado,,,toxicofagia,,,,,
guaguaxar,,,caixilho,,,oxistofilo,,,,,
gastroatáxico,,,baixinho,,,toxicofágico,,,,,
ataxadinamia,,,fixismo,,,toxicodermatítico,,,,,
quaraxaim,,,lixiviação,,,peptoxina,,,,,
maxacaté,,,fixidez,,,oxicárbico,,,,,
talagaxa,,,asfixiar,,,agrotóxico,,,,,
pinaxame,,,baixio,,,boxe,,,,,
melaxanto,,,caixinha,,,proxeneta,,,,,
mangalaxa,,,peixinho,,,coxear,,,,,
desgraxamento,,,lixiviar,,,arroxeado,,,,,
acarapinaxame,,,dêixis,,,proxenetismo,,,,,
gomacaxaca,,,fixista,,,oxente,,,,,
anticlímax,,,queixinho,,,hipoxemia,,,,,
cefalotórax,,,encaixilhar,,,anoxemia,,,,,
pneumotórax,,,asfixiante,,,toxemia,,,,,
hidrotórax,,,alixia,,,sesquióxido,,,,,
piopneumotórax,,,xixixi,,,cadoxe,,,,,
hemotórax,,,caxixi,,,coxeadura,,,,,
bórax,,,mixira,,,boxeador,,,,,
hápax,,,xixica,,,peróxido,,,,,
sax,,,baixista,,,neurotóxico,,,,,
disclímax,,,pixilinga,,,nefrotóxico,,,,,
piotórax,,,xixilado,,,coxete,,,,,
hemopneumotórax,,,contrabaixista,,,oxeu,,,,,
mesotórax,,,anfimixia,,,filoxera,,,,,
quilotórax,,,fixidade,,,arroxear,,,,,
piroclímax,,,coraixita,,,roxear,,,,,
bômbax,,,lixiviador,,,proxenia,,,,,
gálax,,,pixirica,,,boxear,,,,,
protórax,,,cauixi,,,piroxenito,,,,,
ábax,,,amixia,,,pentóxido,,,,,
metatórax,,,caixilharia,,,roxeta,,,,,
paraclímax,,,mixirra,,,coxeio,,,,,
hapax,,,apomixia,,,heteroxenia,,,,,
ódax,,,mixila,,,termitoxenia,,,,,
hidropiopneumotórax,,,infixidez,,,apodioxe,,,,,
esquizotórax,,,taixi,,,tetróxido,,,,,
cibístax,,,asfixiador,,,monoxenia,,,,,
mediotórax,,,bixina,,,coxelas,,,,,
pneumatotórax,,,apopnixia,,,deutóxido,,,,,
pneumopiotórax,,,mixia,,,cacoxenita,,,,,
alvitórax,,,vaixia,,,roxete,,,,,
acantopânax,,,freixieiro,,,proxenético,,,,,
fisotórax,,,pixixica,,,hepatotoxemia,,,,,
eritrotórax,,,lixivioso,,,odontoxesta,,,,,
taxonomia,,,asfixioso,,,enroxecido,,,,,
taxo,,,baixia,,,oxeol,,,,,
saxofone,,,roixinol,,,metrolóxico,,,,,
relaxo,,,quixinha,,,filoxerídeo,,,,,
graxo,,,ameixieira,,,ceróxilo,,,,,
axonal,,,automixia,,,filoxerar,,,,,
guaxo,,,haxixina,,,bacteriotoxemia,,,,,
taxonômico,,,cabixis,,,oxeóleo,,,,,
anglo-saxonismo,,,anixi,,,hematóxilo,,,,,
coaxo,,,quixiligangue,,,coxelo,,,,,
axonométrico,,,mirixi,,,aristoxeniano,,,,,
laxo,,,froixidão,,,odontoxesto,,,,,
taxomania,,,êixido,,,oxeolato,,,,,
saxofonista,,,mixilanga,,,lipoxenia,,,,,
klaxon,,,punguixi,,,faringoxerose,,,,,
amaxofobia,,,tapixingui,,,tricoxerose,,,,,
cartaxo,,,abatixi,,,roxecré,,,,,
baxo,,,caixinheira,,,melanóxilo,,,,,
axorca,,,almeixiar,,,filoxerado,,,,,
taxologia,,,catauixi,,,colpoxerose,,,,,
axonometria,,,acroasfixia,,,arterioxerose,,,,,
axonomorfo,,,freixial,,,actinotoxemia,,,,,
axolotle,,,ameixial,,,piroxenólito,,,,,
axonema,,,aipimixira,,,filoxericida,,,,,
tarraxo,,,regaixinhas,,,paroxístico,,,,,
axoide,,,capixim,,,proparoxítona,,,,,
taxológico,,,camixi,,,paroxítono,,,,,
paxoró,,,peixinheiro,,,oxítono,,,,,
axorar,,,cacosfixia,,,oxímero,,,,,
saxorne,,,guamixinga,,,proparoxítono,,,,,
saxotrompa,,,guaxixim,,,paroxísmico,,,,,
marraxo,,,manixi,,,oxíntico,,,,,
maxona,,,haxixismo,,,anoxítono,,,,,
cadaxo,,,muirapixi,,,oxímetro,,,,,
regraxo,,,mucuraxixica,,,peroxídase,,,,,
manaxo,,,cacofixia,,,carboxílico,,,,,
axorcar,,,contracaixilho,,,oxídrico,,,,,
saxofono,,,afixivo,,,monocarboxílico,,,,,
ataxofêmico,,,mixita,,,oxígono,,,,,
axone,,,prebixim,,,dicarboxílico,,,,,
engaxo,,,mamixi,,,carboxílase,,,,,
axodendrito,,,desencaixilhar,,,coxípede,,,,,
bogaxo,,,quixibua,,,oxígona,,,,,
axonoidatlóideo,,,froixidade,,,oxídio,,,,,
saxoso,,,angaxixica,,,oxílito,,,,,
pacaxodéu,,,toropixi,,,tanoxílico,,,,,
taxodiáceas,,,manixieiro,,,oxídase,,,,,
ataxofemia,,,pixiubinha,,,oxídulo,,,,,
axonóide,,,acaixilhar,,,aeroxídase,,,,,
taxodiácea,,,pixiricuçu,,,oxígala,,,,,
maxoxolo,,,pixidífero,,,paroxíntico,,,,,
malgaxo,,,meixilho,,,oxípilo,,,,,
ataxocinese,,,meixil,,,piroxíleo,,,,,
ataxodinâmico,,,ixiolena,,,oxíspora,,,,,
ataxodinamia,,,pixispixi,,,oxícera,,,,,
mieloplaxoma,,,catapsixia,,,hipoxídeas,,,,,
saxotrompista,,,mapixi,,,sacrocoxítico,,,,,
taxodiáceo,,,quixicongo,,,oxíptero,,,,,
caxumba,,,acrasfixia,,,toxífero,,,,,
submáximo,,,apneosfixia,,,oxímaco,,,,,
guaxuma,,,tetimixira,,,eritroxíleas,,,,,
caraxué,,,dibixi,,,oxíbafo,,,,,
eupráxico,,,taixizeiro,,,oxíbase,,,,,
encaxumbado,,,uaixima,,,hipoxíleas,,,,,
guaxupé,,,heteropixidáceas,,,oxístomo,,,,,
caxundé,,,mixidiotismo,,,obnóxio,,,,,
caxumbento,,,sanguileixia,,,abnóxio,,,,,
axuá,,,heteropixidáceo,,,roxbúrgia,,,,,
graxudo,,,mucaxixi,,,roxburgiáceas,,,,,
enguaxumado,,,queixume,,,box,,,,,
guaxupita,,,mixuruca,,,xerox,,,,,
axuaju,,,pixuleco,,,vox,,,,,
maxueira,,,queixudo,,,inox,,,,,
taxupá,,,teixugo,,,xérox,,,,,
maxubi,,,fixura,,,fox,,,,,
maxuruna,,,baixura,,,flox,,,,,
taxuri,,,pixuna,,,solovox,,,,,
cataxu,,,pixurum,,,redox,,,,,
uaxupé,,,pixuá,,,vólvox,,,,,
uiraxué,,,mixuango,,,anóxico,,,,,
guiraxué,,,mixuruquice,,,inóxio,,,,,
axé,,,pixunxu,,,antitóxico,,,,,
ariaxé,,,amorepixuna,,,anóxia,,,,,
ialaxé,,,ibixuna,,,antimonóxido,,,,,
aliaxé,,,pixundé,,,antimonióxido,,,,,
odaxético,,,muirapixuna,,,borocoxô,,,,,
curaxéu,,,membixuê,,,hidroxônio,,,,,
axônio,,,aipixuna,,,doxômano,,,,,
saxônico,,,araxixu,,,afoxé,,,,,
axônico,,,ipixunense,,,coxé,,,,,
saxônio,,,pixundu,,,filoxérico,,,,,
axômetro,,,caraxixu,,,atóxico,,,,,
mesaxônico,,,inambupixuna,,,ototóxico,,,,,
monaxônico,,,ibixuma,,,foxtrote,,,,,
monaxônido,,,nambupixuna,,,óxido,,,,,
saxão,,,inhambupixuna,,,Oxum,,,,,
anglo-saxã,,,acarapixuna,,,exotóxico,,,,,
madrafaxão,,,inamupixuna,,,epóxi,,,,,
pataxó,,,ônix,,,epóxido,,,,,
axóstilo,,,cóccix,,,toxêmico,,,,,
taxólogo,,,fênix,,,piroxênio,,,,,
taxódio,,,cálix,,,anoxêmico,,,,,
cutaxó,,,hélix,,,geoxênio,,,,,
amaxófobo,,,félix,,,menoxênico,,,,,
axófito,,,fórnix,,,piroxênico,,,,,
atloidaxóideo,,,cérvix,,,teoxênias,,,,,
axótomo,,,arqueoptérix,,,coxêndico,,,,,
axólise,,,aptérix,,,roxura,,,,,
camaraxó,,,lárix,,,paradoxuro,,,,,
momaxó,,,sálix,,,subóxido,,,,,
subaxóideo,,,érix,,,butóxido,,,,,
taxímetro,,,hístrix,,,oxura,,,,,
saxícola,,,crenotrix,,,ecoxupé,,,,,
saxífraga,,,triônix,,,cupróxido,,,,,
axípeto,,,jápix,,,moxubiá,,,,,
fraxíneo,,,acantofênix,,,moxuluxulu,,,,,
axífugo,,,acantônix,,,moxurunfada,,,,,
sintaxístico,,,bêmbix,,,alcóxido,,,,,
taxítico,,,dissótrix,,,alantotóxico,,,,,
axígrafo,,,hiálonix,,,aluminóxido,,,,,
saxífrago,,,tetraptérix,,,glicosóxima,,,,,
biaxífero,,,orixá,,,oxálico,,,,,
axículo,,,babalorixá,,,oxálida,,,,,
multiaxífero,,,jinriquixá,,,oxácido,,,,,
taxíneo,,,riquixá,,,coxálgico,,,,,
fraxíneas,,,ialorixá,,,oxálide,,,,,
triaxífero,,,cumixá,,,adoxáceo,,,,,
ataxígrafo,,,xixá,,,mesoxálico,,,,,
monoaxífero,,,vaixá,,,adoxáceas,,,,,
axífero,,,padixá,,,sacrocoxálgico,,,,,
saxífico,,,grumixá,,,acarotóxico,,,,,
cronaxímetro,,,fixável,,,aloxânico,,,,,
taxícola,,,abaixável,,,aloxânio,,,,,
monaxífero,,,curubixá,,,uroxânico,,,,,
áxilo,,,infixável,,,escatóxilo,,,,,
áxis,,,crubixá,,,ofióxilo,,,,,
áxil,,,bixáceas,,,,,,,,
áxone,,,tupixá,,,,,,,,
ataráxico,,,araxixá,,,,,,,,
atáxico,,,bacumixá,,,,,,,,
baxtera,,,bacubixá,,,,,,,,
saxtrompista,,,coaxixá,,,,,,,,
axênico,,,bixáceo,,,,,,,,
maxwell,,,bacupixá,,,,,,,,
maxwelliano,,,ararixá,,,,,,,,
antáxia,,,lixívia,,,,,,,,
antipráxico,,,píxide,,,,,,,,
antropotáxico,,,pixídio,,,,,,,,
axúngia,,,lixívio,,,,,,,,
isoáxico,,,coraixítico,,,,,,,,
,,,míxico,,,,,,,,
,,,bixíneas,,,,,,,,
,,,pixídula,,,,,,,,
,,,mixto,,,,,,,,
,,,pixé,,,,,,,,
,,,bixô,,,,,,,,
,,,peixôtoa,,,,,,,,
,,,ixômetro,,,,,,,,
,,,asfíxico,,,,,,,,
,,,ixê,,,,,,,,
,,,saixê,,,,,,,,
,,,vixnuísmo,,,,,,,,
,,,vixnuísta,,,,,,,,
,,,anaptíxico,,,,,,,,
,,,vixnutista,,,,,,,,
,,,vixnutismo,,,,,,,,
,,,vixnuíta,,,,,,,,
,,,epíxilo,,,,,,,,
,,,íxia,,,,,,,,
